categoryName,productName,item,model,productFinish,dimension,doorHandling,pathForModel,pathForThumbNail
Lighting & Ceiling Fans,Westmore Lighting,1107484,WS103441,NA,"0.2218323\""W x",,vanitylight,U:/SaiDeekshith/Assets/vanitylight321701_thumbnail.jpg
Bathroom,KOHLER Persuade,1170451,K-75790-RA-0,White,NA,,wc,U:/SaiDeekshith/Assets/wc.png
Bathroom,KOHLER Maxton,852765,R21848-BN,Brushed Nickel,NA,,towelring,U:/SaiDeekshith/Assets/towelring.png
Bathroom,Project Source Basic,1227787,1227787,NA,"0.201807\""W x",,showerkit,U:/SaiDeekshith/Assets/showerkit.png
Bathroom,James Martin Vanities,1419098,300-V26-DRP-3,NA,"0.6069442\""W x",,vanity,U:/SaiDeekshith/Assets/vanity1296059_thumbnail.jpg
Home Decor,Safavieh Mariner,828601,MIR4024A,NA,"0.05217189\""W x",,mirror,U:/SaiDeekshith/Assets/Safavieh Mariner.png
Bathroom,Wyndham Collection,596019,WCOBTI00260,White with,"29.25\""W x 29.25\""H",,bathtub,U:/SaiDeekshith/Assets/bathtub230728_thumbnail.jpg
Bathroom,Pfister Masey Polished,832251,LF-049-MCCC,Polished Chrome,NA,,faucet,U:/SaiDeekshith/Assets/faucet831710_thumbnail.jpg
Bathroom,toilet,543603,LF-049-AAA,White with,NA,,toilet543603,U:/SaiDeekshith/Assets/toilet543603_thumbnail.jpg
Wall,wallsconce,1307384,1307384,art,NA,,wallsconce1307384,U:/SaiDeekshith/Assets/wallsconce1307384_thumbnail.jpg
Bathroom,sink,351198,351198,silver,NA,,sink351198,U:/SaiDeekshith/Assets/sink351198_thumbnail.jpg
Livingroom,rug,1143160,1143160,NA,NA,,rug1143160,U:/SaiDeekshith/Assets/rug1143160_thumbnail.jpg
Lighting & Ceiling Fans,lamp,1633484,1633484,NA,NA,,lamp1633484,U:/SaiDeekshith/Assets/lamp1633484_thumbnail.jpg
Lighting & Ceiling Fans,floodlight,1029610,1029610,NA,NA,,floodlight1029610,U:/SaiDeekshith/Assets/floodlight1029610_thumbnail.jpg
Extra,cabinet,916959,916959,NA,NA,,cabinet916959,U:/SaiDeekshith/Assets/cabinet916974_thumbnail.jpg
Extra,cabinet916974,916974,916974,NA,NA,,cabinet916974,U:/SaiDeekshith/Assets/cabinet916959_thumbnail.jpg
Extra,barstool818528,818528,818528,NA,NA,,barstool818528,U:/SaiDeekshith/Assets/barstool818528_thumbnail.jpg
Livingroom,sofa1074578,1074578,1074578,NA,NA,,sofa1074578,U:/SaiDeekshith/Assets/sofa1074578_thumbnail.jpg
